year,pair_id,reporter_id,reporter_name,partner_id,partner_name,agreement_id,agreement_name,bilateral_preferential_tariff_pct,bilateral_simple_avg_tariff_pct,source_label,source_url,notes
2021,AUS__CAN,AUS,Australia,CAN,Canada,CPTPP,Comprehensive and Progressive Agreement for Trans-Pacific Partnership,,,,,
2021,AUS__USA,AUS,Australia,USA,United States,AUSFTA,Australia-United States Free Trade Agreement,,,,,
2021,CAN__AUS,CAN,Canada,AUS,Australia,CPTPP,Comprehensive and Progressive Agreement for Trans-Pacific Partnership,,,,,
2021,CAN__USA,CAN,Canada,USA,United States,USMCA,United States-Mexico-Canada Agreement,,,,,
2021,KOR__USA,KOR,South Korea,USA,United States,KORUS,Korea-United States Free Trade Agreement,,,,,
2021,MEX__USA,MEX,Mexico,USA,United States,USMCA,United States-Mexico-Canada Agreement,,,,,
2021,USA__AUS,USA,United States,AUS,Australia,AUSFTA,Australia-United States Free Trade Agreement,,,,,
2021,USA__CAN,USA,United States,CAN,Canada,USMCA,United States-Mexico-Canada Agreement,,,,,
2021,USA__KOR,USA,United States,KOR,South Korea,KORUS,Korea-United States Free Trade Agreement,,,,,
2021,USA__MEX,USA,United States,MEX,Mexico,USMCA,United States-Mexico-Canada Agreement,,,,,
