base_date,case_id,case_name,event_date,notes,policy_date_type,role,series_id,series_label,source_type,status,tariff_authority,window_end,window_start
2018-01-31,2018_washer_safeguard,2018 Washer Safeguard,2018-02-07,treatment,effective,treatment,CUUR0000SS30021,Laundry equipment,CPI,benchmark,Section 201,2019-09-30,2016-01-31
2018-01-31,2018_washer_safeguard,2018 Washer Safeguard,2018-02-07,control,effective,control,CUUR0000SEHL,Other household equipment and furnishings,CPI,benchmark,Section 201,2019-09-30,2016-01-31
2018-01-31,2018_washer_safeguard,2018 Washer Safeguard,2018-02-07,producer-side proxy,effective,proxy,PCU335220335220,Major household appliance manufacturing,PPI,benchmark,Section 201,2019-09-30,2016-01-31
2018-01-31,aluminum_2018,2018 Aluminum Section 232,2018-03-23,validated upstream aluminum treatment,effective,treatment,WPU102501,Aluminum mill shapes,UPSTREAM,pair_candidate,Section 232,2019-09-30,2017-03-31
2018-01-31,aluminum_2018,2018 Aluminum Section 232,2018-03-23,validated upstream metal control,effective,control,WPU102502,Copper and brass mill shapes,UPSTREAM,pair_candidate,Section 232,2019-09-30,2017-03-31
2025-07-31,copper_2025_case_main,2025 Copper Section 232,2025-08-01,2025 copper section 232 treatment,effective,treatment,WPU102502,Copper and brass mill shapes,UPSTREAM,benchmark,Section 232,2026-02-28,2024-08-31
2025-07-31,copper_2025_case_main,2025 Copper Section 232,2025-08-01,2025 copper section 232 control,effective,control,WPU102501,Aluminum mill shapes,UPSTREAM,benchmark,Section 232,2026-02-28,2024-08-31
2024-12-31,semiconductors_2025,2025 Semiconductors Case,2025-01-01,validated producer-side semiconductor treatment,effective,treatment,PCU334413334413,Semiconductor and related device manufacturing,UPSTREAM,pair_candidate,2025 tariff cycle,2026-02-28,2024-01-31
2024-12-31,semiconductors_2025,2025 Semiconductors Case,2025-01-01,validated import-side semiconductor control,effective,control,EIUIR21320,Semiconductors import price index,UPSTREAM,pair_candidate,2025 tariff cycle,2026-02-28,2024-01-31
2018-01-31,steel_2018,2018 Steel Section 232,2018-03-23,validated upstream steel treatment,effective,treatment,WPU1017,Steel mill products,UPSTREAM,pair_candidate,Section 232,2019-09-30,2017-03-31
2018-01-31,steel_2018,2018 Steel Section 232,2018-03-23,validated upstream metal control,effective,control,WPU102502,Copper and brass mill shapes,UPSTREAM,pair_candidate,Section 232,2019-09-30,2017-03-31
2025-05-31,steel_2025_raise50_case_main,2025 Steel Section 232 Raise to 50%,2025-06-04,2025 steel raise to 50 percent treatment,effective,treatment,WPU1017,Steel mill products,UPSTREAM,benchmark,Section 232,2026-01-31,2024-06-30
2025-05-31,steel_2025_raise50_case_main,2025 Steel Section 232 Raise to 50%,2025-06-04,2025 steel raise to 50 percent control,effective,control,WPU102502,Copper and brass mill shapes,UPSTREAM,benchmark,Section 232,2026-01-31,2024-06-30
2009-08-31,tires_2009,2009 China Tire Safeguard,2009-09-26,validated upstream tire treatment,effective,treatment,WPU07120104,Passenger car pneumatic tires,UPSTREAM,pair_candidate,Section 421,2011-09-30,2008-09-30
2009-08-31,tires_2009,2009 China Tire Safeguard,2009-09-26,validated upstream tire control,effective,control,WPU07130617,Rubber products for mechanical use,UPSTREAM,pair_candidate,Section 421,2011-09-30,2008-09-30
2018-01-31,washers_producer_case_main,2018 Washer Safeguard Producer Case,2018-02-07,treatment,effective,treatment,PCU335220335220,Major household appliance manufacturing,UPSTREAM,benchmark,Section 201,2019-09-30,2016-01-31
2018-01-31,washers_producer_case_main,2018 Washer Safeguard Producer Case,2018-02-07,control,effective,control,PCU335210335210,Small electrical appliance manufacturing,UPSTREAM,benchmark,Section 201,2019-09-30,2016-01-31
