month,treatment,control,relative_effect
2017-03,99.57264957264958,87.48570121253717,12.086948360112416
2017-04,100.32051282051285,86.8451155342027,13.475397286310141
2017-05,101.70940170940172,84.48867536032945,17.220726349072265
2017-06,101.97649572649574,85.12926103866391,16.84723468783183
2017-07,103.47222222222224,85.76984671699839,17.702375505223856
2017-08,100.58760683760686,90.36833676504232,10.219270072564541
2017-09,101.12179487179488,96.81994966826812,4.301845203526753
2017-10,100.267094017094,95.40150995195606,4.865584065137938
2017-11,99.35897435897436,97.2088766872569,2.150097671717461
2017-12,99.8397435897436,94.44063143445436,5.399112155289245
2018-01,100.0,100.0,0.0
2018-02,102.24358974358977,99.08487760237932,3.1587121412104437
2018-03,104.48717948717947,97.52916952642416,6.958009960755319
2018-04,107.10470085470084,95.88194921070694,11.222751643993902
2018-05,111.37820512820514,96.1336078700526,15.244597258152538
2018-06,114.26282051282053,99.79409746053534,14.468723052285185
2018-07,116.29273504273505,91.51223976206818,24.78049528066687
2018-08,118.75000000000004,89.1329215282544,29.617078471745643
2018-09,120.35256410256412,87.57721345229925,32.77535065026487
2018-10,119.33760683760686,88.88126286890872,30.456343968698135
2018-11,119.87179487179488,87.6458476321208,32.22594723967407
2018-12,119.12393162393164,89.01853122855182,30.105400395379817
2019-01,117.94871794871796,87.27979867307252,30.668919275645436
2019-02,115.01068376068378,91.12331274307938,23.887371017604394
2019-03,115.17094017094018,93.09082589796384,22.080114272976346
2019-04,113.30128205128204,93.80004575611989,19.50123629516216
2019-05,112.3931623931624,92.56463051933196,19.828531873830443
2019-06,110.20299145299144,88.88126286890872,21.32172858408272
2019-07,107.31837606837608,89.77350720658887,17.544868861787208
2019-08,105.82264957264957,88.35506749027682,17.467582082372743
2019-09,105.18162393162392,88.53809196980096,16.64353196182296
